country_code,country_name,wb_income,wb_region,isic_section_name,industry_name,net_per_10K_2015,net_per_10K_2016,net_per_10K_2017,net_per_10K_2018,net_per_10K_2019,avg_industry_migration
ca,Canada,High income,North America,Manufacturing,Defense & Space,-18.29,47.02,15.7,64.29,58.94,33.532000000000004
ca,Canada,High income,North America,Information and communication,Computer Hardware,54.81,67.05,193.34,149.07,107.4,114.33399999999999
ca,Canada,High income,North America,Information and communication,Computer Software,104.18,162.5,225.84,269.72,229.9,198.428
ca,Canada,High income,North America,Information and communication,Computer Networking,82.59,149.36,160.49,180.12,245.14,163.54000000000002
ca,Canada,High income,North America,Information and communication,Internet,105.13,189.58,296.31,328.78,283.91,240.74200000000002
ca,Canada,High income,North America,Information and communication,Semiconductors,31.99,76.39,65.55,174.1,177.58,105.122
ca,Canada,High income,North America,Information and communication,Telecommunications,88.75,129.61,144.22,205.04,196.31,152.786
ca,Canada,High income,North America,Professional scientific and technical activities,Law Practice,25.53,40.78,35.96,58.98,39.99,40.248000000000005
ca,Canada,High income,North America,Professional scientific and technical activities,Legal Services,86.25,81.39,74.91,113.58,111.09,93.444
ca,Canada,High income,North America,Professional scientific and technical activities,Management Consulting,68.55,111.61,171.88,221.13,241.95,163.02399999999997
ca,Canada,High income,North America,Professional scientific and technical activities,Biotechnology,127.18,135.91,149.27,140.71,131.48,136.91000000000003
ca,Canada,High income,North America,Human health and social work activities,Medical Practice,15.12,26.11,24.61,20.59,40.35,25.356
ca,Canada,High income,North America,Human health and social work activities,Hospital & Health Care,48.75,58.52,65.4,81.73,68.76,64.632
ca,Canada,High income,North America,Manufacturing,Pharmaceuticals,78.26,127.95,123.55,202.22,219.59,150.31400000000002
ca,Canada,High income,North America,Professional scientific and technical activities,Veterinary,88.94,47.74,169.5,51.86,62.0,84.00800000000001
ca,Canada,High income,North America,Human health and social work activities,Medical Device,90.79,123.52,107.24,147.71,143.56,122.564
ca,Canada,High income,North America,Wholesale and retail trade; repair of motor vehicles and motorcycles,Cosmetics,90.86,113.74,97.74,106.46,90.5,99.85999999999999
ca,Canada,High income,North America,Wholesale and retail trade; repair of motor vehicles and motorcycles,Apparel & Fashion,55.19,101.35,103.47,159.36,135.44,110.96199999999999
ca,Canada,High income,North America,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sporting Goods,61.3,62.73,122.32,52.33,136.78,87.09200000000001
ca,Canada,High income,North America,Wholesale and retail trade; repair of motor vehicles and motorcycles,Tobacco,43.77,108.7,280.3,321.58,275.31,205.93199999999996
ca,Canada,High income,North America,Wholesale and retail trade; repair of motor vehicles and motorcycles,Supermarkets,53.84,124.77,90.41,102.72,158.59,106.066
ca,Canada,High income,North America,Manufacturing,Food Production,78.6,106.2,123.18,161.21,116.6,117.15800000000002
ca,Canada,High income,North America,Wholesale and retail trade; repair of motor vehicles and motorcycles,Consumer Electronics,38.73,21.6,102.63,96.72,110.21,73.97799999999998
ca,Canada,High income,North America,Wholesale and retail trade; repair of motor vehicles and motorcycles,Consumer Goods,49.01,66.17,119.44,119.05,138.03,98.34
ca,Canada,High income,North America,Wholesale and retail trade; repair of motor vehicles and motorcycles,Furniture,109.47,97.57,157.68,133.87,107.59,121.23600000000002
