country_code,country_name,wb_income,wb_region,skill_group_category,skill_group_name,net_per_10K_2015,net_per_10K_2016,net_per_10K_2017,net_per_10K_2018,net_per_10K_2019,avg_skill_migration
ca,Canada,High income,North America,Specialized Industry Skills,Carpentry,2.68,4.91,11.01,6.69,13.23,7.704000000000001
ca,Canada,High income,North America,Specialized Industry Skills,Art History,-17.7,24.15,31.49,23.74,24.82,17.3
ca,Canada,High income,North America,Specialized Industry Skills,Real Estate,-2.77,6.63,11.45,20.55,25.04,12.18
ca,Canada,High income,North America,Specialized Industry Skills,Psychiatry,19.02,24.28,10.42,57.74,28.15,27.922000000000004
ca,Canada,High income,North America,Specialized Industry Skills,Conceptual Art,11.99,26.15,34.61,36.06,28.29,27.419999999999998
ca,Canada,High income,North America,Specialized Industry Skills,Emergency Medicine,9.16,15.23,14.13,38.01,28.9,21.086000000000002
ca,Canada,High income,North America,Specialized Industry Skills,Volunteer Management,-14.46,-3.83,5.88,31.54,29.1,9.646
ca,Canada,High income,North America,Specialized Industry Skills,Reading Comprehension,18.56,-18.55,30.79,21.47,29.88,16.43
ca,Canada,High income,North America,Specialized Industry Skills,Property Management,-1.53,9.81,13.94,26.14,31.23,15.918000000000001
ca,Canada,High income,North America,Specialized Industry Skills,History,-30.47,12.83,32.3,54.84,31.96,20.292
ca,Canada,High income,North America,Specialized Industry Skills,Nonprofit Management,-8.29,-2.21,16.45,28.42,32.83,13.440000000000001
ca,Canada,High income,North America,Specialized Industry Skills,National Security,2.6,10.43,37.63,37.78,33.56,24.4
ca,Canada,High income,North America,Specialized Industry Skills,Mining,-4.39,11.3,37.59,45.45,34.02,24.794000000000004
ca,Canada,High income,North America,Specialized Industry Skills,Wholesale,0.97,7.01,23.27,30.55,35.38,19.436
ca,Canada,High income,North America,Specialized Industry Skills,Cosmetology,8.15,14.26,36.11,41.76,36.06,27.268
ca,Canada,High income,North America,Specialized Industry Skills,Property Law,14.12,30.32,40.2,51.71,39.62,35.194
ca,Canada,High income,North America,Specialized Industry Skills,Personal Coaching,1.47,9.97,18.9,31.17,40.15,20.332
ca,Canada,High income,North America,Specialized Industry Skills,Kinesiology,14.3,15.79,13.49,34.48,40.87,23.786
ca,Canada,High income,North America,Specialized Industry Skills,Religious Studies,3.2,10.47,-2.59,21.14,44.18,15.280000000000001
ca,Canada,High income,North America,Specialized Industry Skills,Ophthalmology,-40.34,35.2,91.74,62.87,44.23,38.739999999999995
ca,Canada,High income,North America,Specialized Industry Skills,Theatre,-12.69,15.77,35.32,45.9,44.43,25.746
ca,Canada,High income,North America,Specialized Industry Skills,Forestry,-27.97,15.4,33.2,20.35,44.49,17.094
ca,Canada,High income,North America,Specialized Industry Skills,Childcare,10.6,26.04,18.02,43.66,45.28,28.72
ca,Canada,High income,North America,Specialized Industry Skills,Physical Security,0.0,7.05,20.53,32.24,46.57,21.278000000000002
ca,Canada,High income,North America,Specialized Industry Skills,Wellness,0.21,13.56,22.77,38.69,47.26,24.497999999999998
ca,Canada,High income,North America,Specialized Industry Skills,Nuclear Engineering,-22.28,24.63,39.28,24.47,47.94,22.808
ca,Canada,High income,North America,Specialized Industry Skills,Event Planning,-10.95,4.1,23.85,40.92,48.28,21.240000000000002
ca,Canada,High income,North America,Specialized Industry Skills,Psychology,-4.51,11.59,24.57,36.91,48.61,23.434
ca,Canada,High income,North America,Specialized Industry Skills,Veterinary Medicine,9.39,4.33,-3.07,44.04,49.34,20.806
ca,Canada,High income,North America,Specialized Industry Skills,Nuclear Physics,4.42,-33.45,49.77,95.03,50.47,33.248000000000005
ca,Canada,High income,North America,Specialized Industry Skills,Social Services,0.38,14.52,26.54,33.76,51.9,25.419999999999998
ca,Canada,High income,North America,Specialized Industry Skills,Oral Comprehension,9.7,28.14,49.46,92.99,53.58,46.774
ca,Canada,High income,North America,Specialized Industry Skills,Landscape Architecture,14.59,29.03,43.85,41.16,53.9,36.506
ca,Canada,High income,North America,Specialized Industry Skills,Sports Coaching,8.39,15.35,35.61,47.86,56.27,32.696000000000005
ca,Canada,High income,North America,Specialized Industry Skills,Urology,13.73,26.67,-11.55,20.22,56.59,21.132
ca,Canada,High income,North America,Specialized Industry Skills,Physical Medicine and Rehabilitation,14.24,33.42,25.4,32.58,57.13,32.554
ca,Canada,High income,North America,Specialized Industry Skills,Public Policy,-0.18,25.93,42.17,53.79,58.43,36.028000000000006
ca,Canada,High income,North America,Specialized Industry Skills,Anthropology,-31.42,-29.06,89.16,45.34,59.26,26.656
ca,Canada,High income,North America,Specialized Industry Skills,Printing,6.04,8.21,37.91,38.43,59.31,29.98
ca,Canada,High income,North America,Specialized Industry Skills,Radio Production,-2.24,45.16,40.4,39.05,59.69,36.412
ca,Canada,High income,North America,Specialized Industry Skills,Family Law,7.06,12.85,15.35,35.93,59.86,26.21
ca,Canada,High income,North America,Soft Skills,Time Management,-19.7,-8.11,12.15,38.2,60.23,16.554000000000002
ca,Canada,High income,North America,Specialized Industry Skills,Army,34.61,29.95,41.7,49.28,61.19,43.346000000000004
