industry_name,count
Information Technology & Services,118
Higher Education,114
Telecommunications,104
Oil & Energy,100
Banking,100
Non-Profit Organization Management,98
Construction,97
Financial Services,94
Hospitality,90
International Affairs,86
Education Management,85
Computer Software,84
Marketing & Advertising,82
Management Consulting,79
Retail,76
Food & Beverages,76
Hospital & Health Care,75
Internet,73
Research,72
Consumer Goods,72
Automotive,71
Pharmaceuticals,71
International Trade & Development,70
Accounting,69
Government Administration,68
Airlines/Aviation,68
Insurance,66
Electrical & Electronic Manufacturing,66
Mechanical or Industrial Engineering,65
Mining & Metals,63
Real Estate,63
Logistics & Supply Chain,63
Civil Engineering,62
"Leisure, Travel & Tourism",62
Food Production,58
Architecture & Planning,53
Chemicals,50
Design,50
"Health, Wellness & Fitness",49
Entertainment,47
Machinery,46
Maritime,46
Renewables & Environment,46
Apparel & Fashion,45
Staffing & Recruiting,44
Human Resources,44
Transportation/Trucking/Railroad,43
Broadcast Media,43
Restaurants,43
Medical Device,43
Media Production,41
Environmental Services,41
Outsourcing/Offshoring,40
Consumer Electronics,40
Cosmetics,40
Aviation & Aerospace,39
Investment Management,38
Law Practice,38
Building Materials,37
Utilities,37
Civic & Social Organization,34
Professional Training & Coaching,34
Events Services,34
Sports,33
Primary/Secondary Education,33
Legal Services,33
Industrial Automation,32
Biotechnology,32
Military,31
Publishing,30
Wholesale,30
Security & Investigations,29
Computer Games,29
Facilities Services,28
Luxury Goods & Jewelry,28
Semiconductors,28
Defense & Space,28
Consumer Services,27
Wine & Spirits,27
Sporting Goods,26
Information Services,26
Tobacco,25
Farming,25
Packaging & Containers,25
E-Learning,24
Business Supplies & Equipment,23
Market Research,23
Public Relations & Communications,22
Textiles,22
Investment Banking,21
Furniture,21
Computer Networking,19
Translation & Localization,19
Medical Practice,19
Venture Capital & Private Equity,19
Newspapers,18
Online Media,18
Individual & Family Services,18
Government Relations,18
Music,18
Paper & Forest Products,17
Plastics,17
Computer & Network Security,16
Import & Export,16
Gambling & Casinos,15
Motion Pictures & Film,15
Commercial Real Estate,14
Shipbuilding,14
Public Policy,14
Think Tanks,13
Dairy,13
Fine Art,13
Computer Hardware,13
Public Safety,13
Printing,13
Supermarkets,12
Photography,12
Capital Markets,11
Performing Arts,11
Political Organization,11
Museums & Institutions,11
Animation,11
Arts & Crafts,10
Philanthropy,10
"Glass, Ceramics & Concrete",10
Package/Freight Delivery,9
Writing & Editing,9
Law Enforcement,8
Religious Institutions,8
Graphic Design,8
Mental Health Care,7
Wireless,7
Executive Office,7
Recreational Facilities & Services,7
Judiciary,6
Railroad Manufacture,5
Veterinary,5
Program Development,4
Fundraising,4
Legislative Office,1
Libraries,1
Warehousing,1
Nanotechnology,1
